Numero progressivo competenza;Nome competenza;Livello;Descrizione;Cose fare per acquisirla
1;Data Analysis;Intermedio;L'analisi dei dati implica l'esame dei dati per scoprire informazioni utili e prendere decisioni informate. Comprende la pulizia dei dati, la visualizzazione e l'analisi statistica.;- Seguire corsi online sull'analisi dei dati e fare pratica su dataset reali.
2;Data Visualization;Intermedio;La visualizzazione dei dati è l'arte di rappresentare graficamente i dati per comunicare in modo efficace informazioni complesse. Comprende la progettazione di grafici e la narrazione.;- Imparare strumenti di visualizzazione dei dati come Tableau o D3.js.
3;Data Modeling;Intermedio;La modellazione dei dati implica la creazione di rappresentazioni astratte di strutture dati per supportare vari processi aziendali. Comprende diagrammi entità-relazione e progettazione di database.;- Studiare concetti di modellazione dei dati e praticare la progettazione di database.
4;SQL Querying;Intermedio;L'interrogazione SQL è la competenza di recuperare e manipolare dati da database relazionali utilizzando SQL (Structured Query Language).;- Seguire corsi SQL e lavorare su progetti di database.
5;Data Cleaning;Base;La pulizia dei dati è il processo di identificazione e correzione di errori o incongruenze nei dataset. Garantisce l'accuratezza e l'affidabilità dei dati.;- Esercitarsi nelle tecniche di pulizia dei dati su dataset disordinati.
6;Data Ethics;Intermedio;L'etica dei dati implica la comprensione e l'applicazione di principi etici nella raccolta, nell'analisi e nella condivisione dei dati per garantire un uso responsabile dei dati.;- Studiare i quadri etici dei dati e creare politiche etiche per i dati.
7;Data Storytelling;Intermedio;Il data storytelling è la capacità di creare narrazioni coinvolgenti basate sui dati per spiegare le scoperte e coinvolgere il pubblico.;- Sviluppare competenze nel data storytelling attraverso workshop sulla narrazione.
8;Data Governance;Intermedio;La governance dei dati comprende la gestione della qualità, della privacy e della sicurezza dei dati per garantire una gestione efficace e conforme alle normative dei dati.;- Imparare le migliori pratiche di governance dei dati e implementare quadri di governance dei dati.
9;Machine Learning Fundamentals;Base;I fondamenti del machine learning includono la comprensione degli algoritmi di base e dei concetti nel machine learning.;- Seguire corsi introduttivi sul machine learning e fare pratica con modelli semplici.
10;Python Programming;Base;Python è un linguaggio di programmazione versatile comunemente utilizzato nell'analisi dei dati e nell'apprendimento automatico. Imparare la programmazione in Python per manipolare ed elaborare i dati.;- Iscriversi a corsi di programmazione in Python e lavorare su progetti di dati.
11;Data Security;Intermedio;La sicurezza dei dati comporta la protezione dei dati da accessi non autorizzati o violazioni. Comprende la crittografia e i controlli di accesso.;- Studiare i protocolli di sicurezza dei dati ed implementare misure di sicurezza dei dati.
